"datum","schema","score"
27-04-2015,"00","0"
28-04-2015,"10","0"
29-04-2015,"10","0"
30-04-2015,"11","0"
01-05-2015,"00","1"
02-05-2015,"00","1"
03-05-2015,"00","1"
04-05-2015,"01","1"
05-05-2015,"01","0"
06-05-2015,"00","0"
07-05-2015,"01","0"
08-05-2015,"11","0"
09-05-2015,"10","0"
10-05-2015,"10","0"
11-05-2015,"11","0"
12-05-2015,"11","0"
13-05-2015,"11","0"
14-05-2015,"00","0"
15-05-2015,"01","1"
16-05-2015,"01","0"
17-05-2015,"01","0"
18-05-2015,"01","0"
19-05-2015,"00","0"
20-05-2015,"01","0"
21-05-2015,"10","0"
22-05-2015,"00","0"
23-05-2015,"11","0"
24-05-2015,"11","0"
25-05-2015,"10","0"
26-05-2015,"00","0"
27-05-2015,"00","1"
28-05-2015,"00","1"
29-05-2015,"11","0"
30-05-2015,"10","1"
31-05-2015,"10","0"
01-06-2015,"00","0"
02-06-2015,"01","0"
03-06-2015,"10","1"
04-06-2015,"10","1"
05-06-2015,"10","0"
06-06-2015,"11","0"
07-06-2015,"00","0"
08-06-2015,"11","0"
09-06-2015,"11","1"
10-06-2015,"01","0"
11-06-2015,"01","0"
12-06-2015,"01","0"
13-06-2015,"00","1"
14-06-2015,"01","0"
15-06-2015,"01","0"
16-06-2015,"10","0"
17-06-2015,"11","0"
18-06-2015,"11","0"
19-06-2015,"10","0"
